iter	Passed	Remaining
0	1	144
1	2	112
2	3	100
3	3	91
4	4	88
5	5	84
6	6	83
7	7	82
8	7	80
9	9	81
10	10	81
11	11	82
12	12	81
13	13	80
14	13	78
15	14	78
16	15	77
17	16	75
18	17	74
19	18	73
20	19	72
21	20	70
22	20	69
23	21	68
24	22	67
25	23	66
26	24	66
27	25	65
28	26	64
29	26	62
30	27	61
31	28	60
32	29	59
33	30	58
34	30	57
35	31	56
36	32	55
37	33	54
38	34	53
39	35	52
40	36	52
41	36	50
42	37	49
43	38	48
44	39	48
45	40	47
46	41	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	45	40
53	46	39
54	47	38
55	48	37
56	48	36
57	49	36
58	51	35
59	52	34
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	57	29
66	58	28
67	59	27
68	60	27
69	61	26
70	61	25
71	62	24
72	63	23
73	64	22
74	65	21
75	66	20
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	71	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	76	10
88	77	9
89	78	8
90	79	7
91	80	6
92	81	6
93	82	5
94	83	4
95	83	3
96	84	2
97	85	1
98	86	0
99	87	0
