iter	Passed	Remaining
0	152	152382
1	154	76913
2	155	51720
3	157	39210
4	159	31797
5	161	26783
6	162	23105
7	163	20331
8	165	18186
9	166	16456
10	167	15055
11	170	14064
12	172	13134
13	174	12280
14	175	11543
15	176	10877
16	178	10296
17	179	9765
18	180	9309
19	182	8934
20	184	8604
21	186	8280
22	188	8005
23	189	7724
24	191	7458
25	192	7228
26	194	7021
27	198	6875
28	199	6673
29	200	6482
30	201	6310
31	203	6152
32	204	5995
33	206	5853
34	207	5715
35	208	5582
36	210	5479
37	212	5373
38	213	5262
39	214	5153
40	216	5071
41	218	4986
42	219	4895
43	221	4814
44	222	4724
45	224	4664
46	227	4608
47	229	4548
48	230	4473
49	232	4410
50	233	4346
51	235	4285
52	237	4234
53	238	4185
54	241	4141
55	243	4096
56	244	4047
57	246	4005
58	248	3955
59	249	3912
60	252	3879
61	254	3844
62	256	3809
63	257	3765
64	259	3728
65	260	3686
66	262	3648
67	263	3608
68	264	3567
69	266	3535
70	267	3505
71	269	3471
72	270	3435
73	271	3400
74	273	3367
75	273	3330
76	275	3299
77	276	3269
78	278	3241
79	279	3211
80	280	3185
81	282	3162
82	282	3126
83	284	3097
84	285	3068
85	286	3044
86	287	3021
87	288	2994
88	290	2972
89	291	2950
90	293	2926
91	294	2905
92	296	2889
93	297	2868
94	298	2847
95	299	2823
96	301	2802
97	302	2780
98	303	2764
99	305	2747
100	306	2729
101	308	2713
102	310	2701
103	311	2685
104	313	2673
105	315	2659
106	317	2647
107	318	2630
108	319	2612
109	321	2597
110	322	2583
111	324	2570
112	325	2557
113	327	2543
114	328	2528
115	329	2513
116	331	2498
117	332	2486
118	333	2471
119	334	2456
120	335	2440
121	336	2423
122	337	2409
123	339	2401
124	341	2387
125	342	2374
126	343	2361
127	344	2349
128	346	2338
129	347	2325
130	348	2311
131	349	2296
132	350	2284
133	351	2271
134	353	2262
135	354	2253
136	356	2246
137	357	2235
138	359	2228
139	361	2218
140	362	2206
141	362	2192
142	364	2181
143	365	2171
144	366	2162
145	368	2156
146	369	2146
147	370	2134
148	372	2125
149	374	2121
150	376	2115
151	377	2107
152	378	2097
153	380	2087
154	381	2079
155	383	2073
156	384	2064
157	385	2056
158	387	2047
159	388	2038
160	389	2027
161	390	2020
162	391	2011
163	392	2001
164	394	1993
165	395	1985
166	396	1976
167	397	1970
168	399	1964
169	401	1958
170	402	1950
171	403	1942
172	404	1935
173	406	1928
174	407	1922
175	409	1917
176	411	1911
177	412	1906
178	414	1900
179	416	1895
180	417	1889
181	418	1881
182	419	1874
183	421	1867
184	422	1861
185	423	1854
186	424	1846
187	426	1841
188	428	1840
189	430	1834
190	432	1830
191	433	1825
192	435	1820
193	436	1814
194	438	1808
